2025-12-01 19:10:15,746 INFO    MainThread:2353784 [wandb_setup.py:_flush():80] Current SDK version is 0.23.0
2025-12-01 19:10:15,747 INFO    MainThread:2353784 [wandb_setup.py:_flush():80] Configure stats pid to 2353784
2025-12-01 19:10:15,747 INFO    MainThread:2353784 [wandb_setup.py:_flush():80] Loading settings from /home/craj/.config/wandb/settings
2025-12-01 19:10:15,747 INFO    MainThread:2353784 [wandb_setup.py:_flush():80] Loading settings from /scratch/craj/langsense/src/wandb/settings
2025-12-01 19:10:15,747 INFO    MainThread:2353784 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-12-01 19:10:15,747 INFO    MainThread:2353784 [wandb_init.py:setup_run_log_directory():713] Logging user logs to /scratch/craj/langsense/src/wandb/run-20251201_191015-hhy0gy11/logs/debug.log
2025-12-01 19:10:15,747 INFO    MainThread:2353784 [wandb_init.py:setup_run_log_directory():714] Logging internal logs to /scratch/craj/langsense/src/wandb/run-20251201_191015-hhy0gy11/logs/debug-internal.log
2025-12-01 19:10:15,747 INFO    MainThread:2353784 [wandb_init.py:init():840] calling init triggers
2025-12-01 19:10:15,747 INFO    MainThread:2353784 [wandb_init.py:init():845] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-12-01 19:10:15,747 INFO    MainThread:2353784 [wandb_init.py:init():888] starting backend
2025-12-01 19:10:16,088 INFO    MainThread:2353784 [wandb_init.py:init():891] sending inform_init request
2025-12-01 19:10:16,105 INFO    MainThread:2353784 [wandb_init.py:init():899] backend started and connected
2025-12-01 19:10:16,106 INFO    MainThread:2353784 [wandb_init.py:init():969] updated telemetry
2025-12-01 19:10:16,122 INFO    MainThread:2353784 [wandb_init.py:init():993] communicating run to backend with 90.0 second timeout
2025-12-01 19:10:16,591 INFO    MainThread:2353784 [wandb_init.py:init():1040] starting run threads in backend
2025-12-01 19:10:16,721 INFO    MainThread:2353784 [wandb_run.py:_console_start():2504] atexit reg
2025-12-01 19:10:16,721 INFO    MainThread:2353784 [wandb_run.py:_redirect():2352] redirect: wrap_raw
2025-12-01 19:10:16,721 INFO    MainThread:2353784 [wandb_run.py:_redirect():2421] Wrapping output streams.
2025-12-01 19:10:16,721 INFO    MainThread:2353784 [wandb_run.py:_redirect():2444] Redirects installed.
2025-12-01 19:10:16,725 INFO    MainThread:2353784 [wandb_init.py:init():1080] run started, returning control to user process
2025-12-01 19:10:24,050 INFO    wandb-AsyncioManager-main:2353784 [service_client.py:_forward_responses():80] Reached EOF.
2025-12-01 19:10:24,050 INFO    wandb-AsyncioManager-main:2353784 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
