============================================
 Loading model from: /scratch/craj/langsense/models/kin_tag
 Saving finetuned model to: /scratch/craj/langsense/models/finetuned/kin_tag-alpaca-sft-lora
============================================
Loaded Alpaca samples: 51760
Model + tokenizer loaded from local directory.
The tokenizer you are loading from '/scratch/craj/langsense/models/kin_tag' with an incorrect regex pattern: https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503/discussions/84#69121093e8b480e709447d5e. This will lead to incorrect tokenization. You should set the `fix_mistral_regex=True` flag when loading this tokenizer to fix this issue.
Adding EOS to train dataset: 100%|██████████| 51760/51760 [00:01<00:00, 49314.60 examples/s]
Tokenizing train dataset: 100%|██████████| 51760/51760 [00:18<00:00, 2817.24 examples/s]
Truncating train dataset: 100%|██████████| 51760/51760 [00:00<00:00, 1137599.30 examples/s]
Detected kernel version 4.18.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
The model is already on multiple devices. Skipping the move to device specified in `args`.
GPU = NVIDIA A100-SXM4-80GB MIG 3g.40gb, total = 42.14 GB

Starting training...
The tokenizer has new PAD/BOS/EOS tokens that differ from the model config and generation config. The model config and generation config were aligned accordingly, being updated with the tokenizer's values. Updated tokens: {'eos_token_id': 128001, 'bos_token_id': 128000}.
                                                    

{'loss': 5.7661, 'grad_norm': 0.05299316719174385, 'learning_rate': 0.00019981452859350852, 'num_tokens': 23997.0, 'epoch': 0.0}
{'loss': 5.8985, 'grad_norm': 0.05884680524468422, 'learning_rate': 0.0001996084492529624, 'num_tokens': 50161.0, 'epoch': 0.01}
{'loss': 5.6566, 'grad_norm': 0.05450301989912987, 'learning_rate': 0.0001994023699124163, 'num_tokens': 74761.0, 'epoch': 0.01}
{'loss': 5.5452, 'grad_norm': 0.05076872184872627, 'learning_rate': 0.00019919629057187018, 'num_tokens': 99651.0, 'epoch': 0.01}
{'loss': 5.2722, 'grad_norm': 0.05776840075850487, 'learning_rate': 0.00019899021123132406, 'num_tokens': 126938.0, 'epoch': 0.02}
{'loss': 5.2959, 'grad_norm': 0.052713219076395035, 'learning_rate': 0.00019878413189077795, 'num_tokens': 152385.0, 'epoch': 0.02}
{'loss': 5.2094, 'grad_norm': 0.07315970957279205, 'learning_rate': 0.00019857805255023186, 'num_tokens': 180482.0, 'epoch': 0.02}
{'loss': 5.4321, 'grad_norm': 0.08129218965768814, 'learning_rate': 0.00019837197320968575, 'num_tokens': 207435.0, 'epoch': 0.02}
{'loss': 5.0565, 'grad_norm': 0.06617844849824905, 'learning_rate': 0.0001981658938691396, 'num_tokens': 233573.0, 'epoch': 0.03}
{'loss': 5.1333, 'grad_norm': 0.06550399214029312, 'learning_rate': 0.00019795981452859352, 'num_tokens': 258576.0, 'epoch': 0.03}
{'loss': 5.0085, 'grad_norm': 0.06050672009587288, 'learning_rate': 0.0001977537351880474, 'num_tokens': 285073.0, 'epoch': 0.03}
{'loss': 5.1044, 'grad_norm': 0.07588548958301544, 'learning_rate': 0.0001975476558475013, 'num_tokens': 311756.0, 'epoch': 0.04}
{'loss': 4.9554, 'grad_norm': 0.0636419877409935, 'learning_rate': 0.0001973415765069552, 'num_tokens': 336958.0, 'epoch': 0.04}
{'loss': 4.8897, 'grad_norm': 0.08686752617359161, 'learning_rate': 0.00019713549716640906, 'num_tokens': 364536.0, 'epoch': 0.04}
{'loss': 4.655, 'grad_norm': 0.07212156057357788, 'learning_rate': 0.00019692941782586295, 'num_tokens': 389815.0, 'epoch': 0.05}
{'loss': 4.8448, 'grad_norm': 0.0673370510339737, 'learning_rate': 0.00019672333848531686, 'num_tokens': 415017.0, 'epoch': 0.05}
{'loss': 4.8828, 'grad_norm': 0.07597459852695465, 'learning_rate': 0.00019651725914477075, 'num_tokens': 438121.0, 'epoch': 0.05}
{'loss': 4.8347, 'grad_norm': 0.11364006251096725, 'learning_rate': 0.00019631117980422463, 'num_tokens': 464945.0, 'epoch': 0.06}
{'loss': 4.8644, 'grad_norm': 0.11307624727487564, 'learning_rate': 0.00019610510046367852, 'num_tokens': 492181.0, 'epoch': 0.06}
{'loss': 4.8341, 'grad_norm': 0.09790881723165512, 'learning_rate': 0.0001958990211231324, 'num_tokens': 518798.0, 'epoch': 0.06}
{'loss': 4.7747, 'grad_norm': 0.08069807291030884, 'learning_rate': 0.0001956929417825863, 'num_tokens': 543496.0, 'epoch': 0.06}
{'loss': 4.892, 'grad_norm': 0.1350972205400467, 'learning_rate': 0.0001954868624420402, 'num_tokens': 570455.0, 'epoch': 0.07}
{'loss': 4.6903, 'grad_norm': 0.08372922241687775, 'learning_rate': 0.0001952807831014941, 'num_tokens': 596416.0, 'epoch': 0.07}
{'loss': 4.8125, 'grad_norm': 0.07443538308143616, 'learning_rate': 0.00019507470376094795, 'num_tokens': 621897.0, 'epoch': 0.07}
{'loss': 4.6885, 'grad_norm': 0.08107353001832962, 'learning_rate': 0.00019486862442040186, 'num_tokens': 646404.0, 'epoch': 0.08}
{'loss': 4.8591, 'grad_norm': 0.09187757968902588, 'learning_rate': 0.00019466254507985575, 'num_tokens': 672104.0, 'epoch': 0.08}
