============================================
 Loading model from: /scratch/craj/langsense/models/space_tag
 Saving finetuned model to: /scratch/craj/langsense/models/finetuned/space_tag-alpaca-sft-lora
============================================
Loaded Alpaca samples: 51760
Model + tokenizer loaded from local directory.
The tokenizer you are loading from '/scratch/craj/langsense/models/space_tag' with an incorrect regex pattern: https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503/discussions/84#69121093e8b480e709447d5e. This will lead to incorrect tokenization. You should set the `fix_mistral_regex=True` flag when loading this tokenizer to fix this issue.
Adding EOS to train dataset: 100%|██████████| 51760/51760 [00:01<00:00, 50722.56 examples/s]
Tokenizing train dataset: 100%|██████████| 51760/51760 [00:17<00:00, 2973.30 examples/s]
Truncating train dataset: 100%|██████████| 51760/51760 [00:00<00:00, 990555.95 examples/s]
Detected kernel version 4.18.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
The model is already on multiple devices. Skipping the move to device specified in `args`.
GPU = NVIDIA A100-SXM4-80GB MIG 3g.40gb, total = 42.14 GB

Starting training...
The tokenizer has new PAD/BOS/EOS tokens that differ from the model config and generation config. The model config and generation config were aligned accordingly, being updated with the tokenizer's values. Updated tokens: {'eos_token_id': 128001, 'bos_token_id': 128000}.
                                                    

{'loss': 5.8235, 'grad_norm': 0.04509399086236954, 'learning_rate': 0.00019981452859350852, 'num_tokens': 23997.0, 'epoch': 0.0}
{'loss': 5.9289, 'grad_norm': 0.04872452840209007, 'learning_rate': 0.0001996084492529624, 'num_tokens': 50161.0, 'epoch': 0.01}
{'loss': 5.701, 'grad_norm': 0.06003132089972496, 'learning_rate': 0.0001994023699124163, 'num_tokens': 74761.0, 'epoch': 0.01}
{'loss': 5.5857, 'grad_norm': 0.05378727242350578, 'learning_rate': 0.00019919629057187018, 'num_tokens': 99651.0, 'epoch': 0.01}
{'loss': 5.3026, 'grad_norm': 0.06080916151404381, 'learning_rate': 0.00019899021123132406, 'num_tokens': 126938.0, 'epoch': 0.02}
{'loss': 5.3202, 'grad_norm': 0.054592616856098175, 'learning_rate': 0.00019878413189077795, 'num_tokens': 152385.0, 'epoch': 0.02}
{'loss': 5.219, 'grad_norm': 0.0804169625043869, 'learning_rate': 0.00019857805255023186, 'num_tokens': 180482.0, 'epoch': 0.02}
{'loss': 5.4243, 'grad_norm': 0.08280742168426514, 'learning_rate': 0.00019837197320968575, 'num_tokens': 207435.0, 'epoch': 0.02}
{'loss': 5.0482, 'grad_norm': 0.06820498406887054, 'learning_rate': 0.0001981658938691396, 'num_tokens': 233573.0, 'epoch': 0.03}
{'loss': 5.1338, 'grad_norm': 0.06851708889007568, 'learning_rate': 0.00019795981452859352, 'num_tokens': 258576.0, 'epoch': 0.03}
{'loss': 5.0146, 'grad_norm': 0.05432405695319176, 'learning_rate': 0.0001977537351880474, 'num_tokens': 285073.0, 'epoch': 0.03}
{'loss': 5.1111, 'grad_norm': 0.0696454867720604, 'learning_rate': 0.0001975476558475013, 'num_tokens': 311756.0, 'epoch': 0.04}
{'loss': 4.9761, 'grad_norm': 0.06103210896253586, 'learning_rate': 0.0001973415765069552, 'num_tokens': 336958.0, 'epoch': 0.04}
{'loss': 4.93, 'grad_norm': 0.0902012288570404, 'learning_rate': 0.00019713549716640906, 'num_tokens': 364536.0, 'epoch': 0.04}
{'loss': 4.6903, 'grad_norm': 0.07751059532165527, 'learning_rate': 0.00019692941782586295, 'num_tokens': 389815.0, 'epoch': 0.05}
{'loss': 4.8582, 'grad_norm': 0.07404511421918869, 'learning_rate': 0.00019672333848531686, 'num_tokens': 415017.0, 'epoch': 0.05}
{'loss': 4.9301, 'grad_norm': 0.08802014589309692, 'learning_rate': 0.00019651725914477075, 'num_tokens': 438121.0, 'epoch': 0.05}
{'loss': 4.8744, 'grad_norm': 0.10877227038145065, 'learning_rate': 0.00019631117980422463, 'num_tokens': 464945.0, 'epoch': 0.06}
{'loss': 4.8935, 'grad_norm': 0.10777653008699417, 'learning_rate': 0.00019610510046367852, 'num_tokens': 492181.0, 'epoch': 0.06}
{'loss': 4.8609, 'grad_norm': 0.10927458107471466, 'learning_rate': 0.0001958990211231324, 'num_tokens': 518798.0, 'epoch': 0.06}
{'loss': 4.816, 'grad_norm': 0.08432645350694656, 'learning_rate': 0.0001956929417825863, 'num_tokens': 543496.0, 'epoch': 0.06}
{'loss': 4.9301, 'grad_norm': 0.13075681030750275, 'learning_rate': 0.0001954868624420402, 'num_tokens': 570455.0, 'epoch': 0.07}
{'loss': 4.7142, 'grad_norm': 0.08194424957036972, 'learning_rate': 0.0001952807831014941, 'num_tokens': 596416.0, 'epoch': 0.07}
{'loss': 4.8596, 'grad_norm': 0.08304980397224426, 'learning_rate': 0.00019507470376094795, 'num_tokens': 621897.0, 'epoch': 0.07}
{'loss': 4.6785, 'grad_norm': 0.08179112523794174, 'learning_rate': 0.00019486862442040186, 'num_tokens': 646404.0, 'epoch': 0.08}
{'loss': 4.8835, 'grad_norm': 0.08615230023860931, 'learning_rate': 0.00019466254507985575, 'num_tokens': 672104.0, 'epoch': 0.08}
{'loss': 4.5696, 'grad_norm': 0.06839854270219803, 'learning_rate': 0.00019445646573930964, 'num_tokens': 699796.0, 'epoch': 0.08}
{'loss': 4.6437, 'grad_norm': 0.1403292417526245, 'learning_rate': 0.00019425038639876355, 'num_tokens': 726072.0, 'epoch': 0.09}
{'loss': 4.6495, 'grad_norm': 0.09225402027368546, 'learning_rate': 0.00019404430705821744, 'num_tokens': 752586.0, 'epoch': 0.09}
{'loss': 4.8238, 'grad_norm': 0.10775203257799149, 'learning_rate': 0.0001938382277176713, 'num_tokens': 780269.0, 'epoch': 0.09}
{'loss': 4.6051, 'grad_norm': 0.09051068127155304, 'learning_rate': 0.0001936321483771252, 'num_tokens': 810957.0, 'epoch': 0.1}
{'loss': 4.5698, 'grad_norm': 0.11916256695985794, 'learning_rate': 0.0001934260690365791, 'num_tokens': 834038.0, 'epoch': 0.1}
{'loss': 4.5754, 'grad_norm': 0.09295108914375305, 'learning_rate': 0.00019321998969603298, 'num_tokens': 858968.0, 'epoch': 0.1}
{'loss': 4.6695, 'grad_norm': 0.11356578767299652, 'learning_rate': 0.0001930139103554869, 'num_tokens': 886004.0, 'epoch': 0.11}
{'loss': 4.6631, 'grad_norm': 0.09632229059934616, 'learning_rate': 0.00019280783101494075, 'num_tokens': 911359.0, 'epoch': 0.11}
{'loss': 4.518, 'grad_norm': 0.10021825134754181, 'learning_rate': 0.00019260175167439464, 'num_tokens': 936564.0, 'epoch': 0.11}
{'loss': 4.6301, 'grad_norm': 0.2179960459470749, 'learning_rate': 0.00019239567233384855, 'num_tokens': 961254.0, 'epoch': 0.11}
