============================================
 Loading model from: /scratch/craj/langsense/models/shape_cat
 Saving finetuned model to: /scratch/craj/langsense/models/finetuned/shape_cat-alpaca-sft-lora
============================================
Loaded Alpaca samples: 51760
Model + tokenizer loaded from local directory.
The tokenizer you are loading from '/scratch/craj/langsense/models/shape_cat' with an incorrect regex pattern: https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503/discussions/84#69121093e8b480e709447d5e. This will lead to incorrect tokenization. You should set the `fix_mistral_regex=True` flag when loading this tokenizer to fix this issue.
Adding EOS to train dataset: 100%|██████████| 51760/51760 [00:01<00:00, 50165.27 examples/s]
Tokenizing train dataset: 100%|██████████| 51760/51760 [00:17<00:00, 3017.08 examples/s]
Truncating train dataset: 100%|██████████| 51760/51760 [00:00<00:00, 954697.14 examples/s]
Detected kernel version 4.18.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
The model is already on multiple devices. Skipping the move to device specified in `args`.
GPU = NVIDIA A100-SXM4-80GB MIG 3g.40gb, total = 42.14 GB

Starting training...
The tokenizer has new PAD/BOS/EOS tokens that differ from the model config and generation config. The model config and generation config were aligned accordingly, being updated with the tokenizer's values. Updated tokens: {'eos_token_id': 128001, 'bos_token_id': 128000}.
                                                     

{'loss': 5.8611, 'grad_norm': 0.036801233887672424, 'learning_rate': 0.00019981452859350852, 'num_tokens': 23997.0, 'epoch': 0.0}
{'loss': 5.9905, 'grad_norm': 0.039388902485370636, 'learning_rate': 0.0001996084492529624, 'num_tokens': 50161.0, 'epoch': 0.01}
{'loss': 5.7684, 'grad_norm': 0.04686339944601059, 'learning_rate': 0.0001994023699124163, 'num_tokens': 74761.0, 'epoch': 0.01}
{'loss': 5.6464, 'grad_norm': 0.04618200659751892, 'learning_rate': 0.00019919629057187018, 'num_tokens': 99651.0, 'epoch': 0.01}
{'loss': 5.3737, 'grad_norm': 0.05067730322480202, 'learning_rate': 0.00019899021123132406, 'num_tokens': 126938.0, 'epoch': 0.02}
{'loss': 5.4303, 'grad_norm': 0.042868394404649734, 'learning_rate': 0.00019878413189077795, 'num_tokens': 152385.0, 'epoch': 0.02}
{'loss': 5.3406, 'grad_norm': 0.06456692516803741, 'learning_rate': 0.00019857805255023186, 'num_tokens': 180482.0, 'epoch': 0.02}
{'loss': 5.5537, 'grad_norm': 0.06761845201253891, 'learning_rate': 0.00019837197320968575, 'num_tokens': 207435.0, 'epoch': 0.02}
{'loss': 5.1901, 'grad_norm': 0.05475638061761856, 'learning_rate': 0.0001981658938691396, 'num_tokens': 233573.0, 'epoch': 0.03}
{'loss': 5.2797, 'grad_norm': 0.05684923380613327, 'learning_rate': 0.00019795981452859352, 'num_tokens': 258576.0, 'epoch': 0.03}
{'loss': 5.1726, 'grad_norm': 0.048224352300167084, 'learning_rate': 0.0001977537351880474, 'num_tokens': 285073.0, 'epoch': 0.03}
{'loss': 5.2646, 'grad_norm': 0.060149576514959335, 'learning_rate': 0.0001975476558475013, 'num_tokens': 311756.0, 'epoch': 0.04}
{'loss': 5.1408, 'grad_norm': 0.05570436641573906, 'learning_rate': 0.0001973415765069552, 'num_tokens': 336958.0, 'epoch': 0.04}
{'loss': 5.0819, 'grad_norm': 0.08294638991355896, 'learning_rate': 0.00019713549716640906, 'num_tokens': 364536.0, 'epoch': 0.04}
{'loss': 4.8438, 'grad_norm': 0.06840848177671432, 'learning_rate': 0.00019692941782586295, 'num_tokens': 389815.0, 'epoch': 0.05}
{'loss': 5.0214, 'grad_norm': 0.065874382853508, 'learning_rate': 0.00019672333848531686, 'num_tokens': 415017.0, 'epoch': 0.05}
{'loss': 5.0621, 'grad_norm': 0.0796135812997818, 'learning_rate': 0.00019651725914477075, 'num_tokens': 438121.0, 'epoch': 0.05}
{'loss': 5.0078, 'grad_norm': 0.08124175667762756, 'learning_rate': 0.00019631117980422463, 'num_tokens': 464945.0, 'epoch': 0.06}
{'loss': 5.0193, 'grad_norm': 0.08739299327135086, 'learning_rate': 0.00019610510046367852, 'num_tokens': 492181.0, 'epoch': 0.06}
{'loss': 4.9588, 'grad_norm': 0.08912001550197601, 'learning_rate': 0.0001958990211231324, 'num_tokens': 518798.0, 'epoch': 0.06}
{'loss': 4.9201, 'grad_norm': 0.07304944097995758, 'learning_rate': 0.0001956929417825863, 'num_tokens': 543496.0, 'epoch': 0.06}
{'loss': 5.0223, 'grad_norm': 0.12810949981212616, 'learning_rate': 0.0001954868624420402, 'num_tokens': 570455.0, 'epoch': 0.07}
{'loss': 4.8017, 'grad_norm': 0.07734363526105881, 'learning_rate': 0.0001952807831014941, 'num_tokens': 596416.0, 'epoch': 0.07}
{'loss': 4.9453, 'grad_norm': 0.07787201553583145, 'learning_rate': 0.00019507470376094795, 'num_tokens': 621897.0, 'epoch': 0.07}
{'loss': 4.784, 'grad_norm': 0.07370954006910324, 'learning_rate': 0.00019486862442040186, 'num_tokens': 646404.0, 'epoch': 0.08}
{'loss': 4.96, 'grad_norm': 0.07889579236507416, 'learning_rate': 0.00019466254507985575, 'num_tokens': 672104.0, 'epoch': 0.08}
{'loss': 4.6502, 'grad_norm': 0.06448550522327423, 'learning_rate': 0.00019445646573930964, 'num_tokens': 699796.0, 'epoch': 0.08}
{'loss': 4.7152, 'grad_norm': 0.12116842716932297, 'learning_rate': 0.00019425038639876355, 'num_tokens': 726072.0, 'epoch': 0.09}
